호선명,지하철역,무임승차인원,무임하차인원,작업일자
9호선,고속터미널,59610,72655,20190603
9호선,개화,42642,33522,20190603
9호선,당산,73051,68211,20190603
9호선,노량진,98032,100886,20190603
9호선,노들,35912,33091,20190603
9호선,공항시장,25513,27597,20190603
9호선,염창,71001,70428,20190603
9호선,마곡나루,27130,26774,20190603
9호선,국회의사당,55720,49345,20190603
9호선,선유도,27261,26833,20190603
9호선,증미,45713,45870,20190603
9호선,흑석(중앙대입구),60729,62111,20190603
9호선,신논현,59774,57230,20190603
9호선,신목동,22565,21065,20190603
9호선,신방화,46312,46269,20190603
9호선,양천향교,47053,45655,20190603
9호선,여의도,47505,44771,20190603
9호선,김포공항,23394,25147,20190603
9호선,사평,19045,19037,20190603
9호선,동작(현충원),18361,16222,20190603
9호선,신반포,25310,25395,20190603
9호선,등촌,86418,86843,20190603
9호선,가양,135441,131612,20190603
9호선,구반포,26119,26658,20190603
9호선,샛강,28462,28613,20190603
8호선,강동구청,70254,70546,20190603
8호선,문정,59491,59473,20190603
8호선,단대오거리,76680,73390,20190603
8호선,장지,83655,79876,20190603
8호선,석촌,58128,62894,20190603
8호선,모란,60329,42698,20190603
8호선,천호(풍납토성),99871,93696,20190603
8호선,복정,54087,49409,20190603
8호선,송파,65515,63798,20190603
8호선,수진,52941,52112,20190603
8호선,산성,37370,40205,20190603
8호선,신흥,46299,48225,20190603
8호선,잠실(송파구청),75592,73162,20190603
8호선,암사,107123,104512,20190603
8호선,가락시장,61614,63420,20190603
8호선,남한산성입구(성남법원.검찰청),85414,81404,20190603
8호선,몽촌토성(평화의문),42675,42003,20190603
7호선,춘의,35568,35218,20190603
7호선,가산디지털단지,83075,78382,20190603
7호선,수락산,100262,100498,20190603
7호선,마들,87870,87743,20190603
7호선,사가정,108895,107063,20190603
7호선,굴포천,38737,39320,20190603
7호선,중계,106779,104282,20190603
7호선,남구로,65877,66406,20190603
7호선,중곡,66658,67145,20190603
7호선,어린이대공원(세종대),52472,52066,20190603
7호선,삼산체육관,29808,28688,20190603
7호선,신대방삼거리,102456,103746,20190603
7호선,뚝섬유원지,50928,50901,20190603
7호선,먹골,70888,70256,20190603
7호선,용마산,39802,43461,20190603
7호선,상도,66778,62783,20190603
7호선,반포,37889,35711,20190603
7호선,내방,75460,73805,20190603
7호선,온수(성공회대입구),42385,41555,20190603
7호선,부평구청,33831,30180,20190603
7호선,이수,86016,82373,20190603
7호선,건대입구,61428,56737,20190603
7호선,상동,56874,56984,20190603
7호선,신풍,75055,75236,20190603
7호선,부천종합운동장,22123,20937,20190603
7호선,군자(능동),88010,75582,20190603
7호선,광명사거리,167322,170486,20190603
7호선,강남구청,51713,51718,20190603
7호선,노원,131331,131338,20190603
7호선,청담,80711,77743,20190603
7호선,철산,110568,110380,20190603
7호선,남성,80055,79645,20190603
7호선,태릉입구,58142,55553,20190603
7호선,신중동,63049,60637,20190603
7호선,보라매,51879,51771,20190603
7호선,부천시청,57217,55241,20190603
7호선,도봉산,50670,71105,20190603
7호선,중화,75005,73332,20190603
7호선,면목,101854,103820,20190603
7호선,천왕,55697,54783,20190603
7호선,논현,54723,54627,20190603
7호선,숭실대입구(살피재),67271,69496,20190603
7호선,학동,65654,62860,20190603
7호선,까치울,35326,35034,20190603
7호선,장승배기,82554,83533,20190603
7호선,장암,10315,7016,20190603
7호선,고속터미널,88859,78488,20190603
7호선,하계,121524,115340,20190603
7호선,상봉(시외버스터미널),79570,75259,20190603
7호선,대림(구로구청),41340,39917,20190603
7호선,공릉(서울과학기술대),76684,76749,20190603
6호선,상월곡(한국과학기술연구원),46905,45744,20190603
6호선,구산,60344,60689,20190603
6호선,한강진,17974,17709,20190603
6호선,창신,20577,19347,20190603
6호선,동묘앞,77874,71838,20190603
6호선,신당,42119,40910,20190603
6호선,안암(고대병원앞),39426,37761,20190603
6호선,태릉입구,41918,46759,20190603
6호선,효창공원앞,45947,42862,20190603
6호선,버티고개,16062,18110,20190603
6호선,돌곶이,64265,63341,20190603
6호선,마포구청,90445,81808,20190603
6호선,석계,86707,87432,20190603
6호선,약수,26787,25673,20190603
6호선,화랑대(서울여대입구),52833,47609,20190603
6호선,연신내,1,0,20190603
6호선,월곡(동덕여대),83031,82237,20190603
6호선,보문,36882,34693,20190603
6호선,광흥창(서강),63022,61605,20190603
6호선,디지털미디어시티,59902,59303,20190603
6호선,역촌,39872,37893,20190603
6호선,대흥(서강대앞),56550,55989,20190603
6호선,상수,24468,25130,20190603
6호선,봉화산(서울의료원),59519,57955,20190603
6호선,월드컵경기장(성산),63866,64938,20190603
6호선,고려대(종암),41927,41852,20190603
6호선,삼각지,19271,15642,20190603
6호선,공덕,79638,75551,20190603
6호선,새절(신사),97848,98078,20190603
6호선,이태원,38285,40174,20190603
6호선,독바위,22406,27375,20190603
6호선,녹사평(용산구청),21721,20469,20190603
6호선,불광,45887,37382,20190603
6호선,증산(명지대앞),79667,78828,20190603
6호선,응암,126437,125203,20190603
6호선,청구,20956,25594,20190603
6호선,망원,92986,97792,20190603
5호선,여의도,55740,54485,20190603
5호선,상일동,76797,72309,20190603
5호선,고덕,73467,72088,20190603
5호선,올림픽공원(한국체대),39206,36012,20190603
5호선,우장산,97432,100928,20190603
5호선,거여,61337,59545,20190603
5호선,방이,51760,51060,20190603
